STATUS | wrapper  | main    | 2025/04/03 08:31:18.027 | --> Wrapper Started as Console
STATUS | wrapper  | main    | 2025/04/03 08:31:18.035 | Java Service Wrapper Professional Edition 64-bit 3.5.29
STATUS | wrapper  | main    | 2025/04/03 08:31:18.035 |   Copyright (C) 1999-2016 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | main    | 2025/04/03 08:31:18.035 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | main    | 2025/04/03 08:31:18.035 |   Licensed to SAP SE for hybris Platform
STATUS | wrapper  | main    | 2025/04/03 08:31:18.035 | 
STATUS | wrapper  | main    | 2025/04/03 08:31:18.440 | Launching a JVM...
INFO   | jvm 1    | main    | 2025/04/03 08:31:18.913 | WrapperManager: Initializing...
INFO   | jvm 1    | main    | 2025/04/03 08:31:20.437 | avr. 03, 2025 8:31:20 A.M. org.apache.coyote.AbstractProtocol init
INFO   | jvm 1    | main    | 2025/04/03 08:31:20.437 | INFOS: Initialisation du gestionnaire de protocole ["http-nio-9001"]
INFO   | jvm 1    | main    | 2025/04/03 08:31:20.875 | avr. 03, 2025 8:31:20 A.M. org.apache.tomcat.util.net.NioSelectorPool getSharedSelector
INFO   | jvm 1    | main    | 2025/04/03 08:31:20.875 | INFOS: Using a shared selector for servlet write/read
INFO   | jvm 1    | main    | 2025/04/03 08:31:20.875 | avr. 03, 2025 8:31:20 A.M. org.apache.coyote.AbstractProtocol init
INFO   | jvm 1    | main    | 2025/04/03 08:31:20.875 | INFOS: Initialisation du gestionnaire de protocole ["https-jsse-nio-9002"]
INFO   | jvm 1    | main    | 2025/04/03 08:31:21.311 | avr. 03, 2025 8:31:21 A.M. org.apache.tomcat.util.net.NioSelectorPool getSharedSelector
INFO   | jvm 1    | main    | 2025/04/03 08:31:21.312 | INFOS: Using a shared selector for servlet write/read
INFO   | jvm 1    | main    | 2025/04/03 08:31:21.313 | avr. 03, 2025 8:31:21 A.M. org.apache.coyote.AbstractProtocol init
INFO   | jvm 1    | main    | 2025/04/03 08:31:21.313 | INFOS: Initialisation du gestionnaire de protocole ["ajp-nio-127.0.0.1-8009"]
INFO   | jvm 1    | main    | 2025/04/03 08:31:21.313 | avr. 03, 2025 8:31:21 A.M. org.apache.tomcat.util.net.NioSelectorPool getSharedSelector
INFO   | jvm 1    | main    | 2025/04/03 08:31:21.313 | INFOS: Using a shared selector for servlet write/read
INFO   | jvm 1    | main    | 2025/04/03 08:31:21.314 | avr. 03, 2025 8:31:21 A.M. org.apache.catalina.startup.Catalina load
INFO   | jvm 1    | main    | 2025/04/03 08:31:21.315 | INFOS: Initialization processed in 1681 ms
INFO   | jvm 1    | main    | 2025/04/03 08:31:21.315 | avr. 03, 2025 8:31:21 A.M. org.apache.catalina.core.StandardService startInternal
INFO   | jvm 1    | main    | 2025/04/03 08:31:21.315 | INFOS: Démarrage du service [Catalina]
INFO   | jvm 1    | main    | 2025/04/03 08:31:21.425 | avr. 03, 2025 8:31:21 A.M. de.hybris.tomcat.ConfigurableRfc6265CookieProcessor$JuliLogHandler info
INFO   | jvm 1    | main    | 2025/04/03 08:31:21.425 | INFOS: No Same Site cookie config file found at tomcat\bin\sameSiteCookies.properties
INFO   | jvm 1    | main    | 2025/04/03 08:31:26.984 | avr. 03, 2025 8:31:26 A.M. org.apache.catalina.util.SessionIdGeneratorBase createSecureRandom
INFO   | jvm 1    | main    | 2025/04/03 08:31:26.985 | AVERTISSEMENT: La création de l'instance de SecureRandom pour le générateur d'id de session en utilisant [SHA1PRNG] a pris [1 023] millisecondes
INFO   | jvm 1    | main    | 2025/04/03 08:31:26.993 | avr. 03, 2025 8:31:26 A.M. org.apache.jasper.servlet.TldScanner scanJars
INFO   | jvm 1    | main    | 2025/04/03 08:31:26.993 | INFOS: Au moins un fichier JAR a été analysé pour trouver des TLDs mais il n'en contenait pas, le mode "debug" du journal peut être activé pour obtenir une liste complète de JAR scannés sans succès ; éviter d'analyser des JARs inutilement peut améliorer sensiblement le temps de démarrage et le temps de compilation des JSPs
INFO   | jvm 1    | main    | 2025/04/03 08:31:28.421 | >>> No SAP licenses found in the system. Trying fallback to hybris license.
INFO   | jvm 1    | main    | 2025/04/03 08:31:28.531 | INFO  [localhost-startStop-6] [Registry] Using additional Trust Store set in the hybris properties.
INFO   | jvm 1    | main    | 2025/04/03 08:31:28.531 | INFO  [localhost-startStop-6] [JerseyClientDefaultSslContextProvider] Jersey client will use jvm default SSLContext
INFO   | jvm 1    | main    | 2025/04/03 08:31:28.533 | INFO  [localhost-startStop-6] [Registry] Additional Trust Store has been merged with the default SSLContext.
INFO   | jvm 1    | main    | 2025/04/03 08:31:34.255 | INFO  [localhost-startStop-4] [AbstractTenant] Created master data source DataSourceImpl<<master/master>>
INFO   | jvm 1    | main    | 2025/04/03 08:31:34.255 | INFO  [localhost-startStop-4] [DefaultClusterNodeManagementService] Automatic cluster ID discovery disabled. Configured ID: 0
INFO   | jvm 1    | main    | 2025/04/03 08:31:34.256 | INFO  [localhost-startStop-4] [DefaultBroadcastService] Started message broadcast service:
INFO   | jvm 1    | main    | 2025/04/03 08:31:34.259 | clustering (enabled:false)
INFO   | jvm 1    | main    | 2025/04/03 08:31:34.260 | sending synchronously - no queue
INFO   | jvm 1    | main    | 2025/04/03 08:31:34.261 | methods [<loopback>::de.hybris.platform.cluster.LoopBackBroadcastMethod@51fb15c2]
INFO   | jvm 1    | main    | 2025/04/03 08:31:34.584 | INFO  [localhost-startStop-4] [hybrisserver] 
INFO   | jvm 1    | main    | 2025/04/03 08:31:34.584 | INFO  [localhost-startStop-4] [hybrisserver] *****************************************************************
INFO   | jvm 1    | main    | 2025/04/03 08:31:34.587 | INFO  [localhost-startStop-4] [hybrisserver] 
INFO   | jvm 1    | main    | 2025/04/03 08:31:34.588 | INFO  [localhost-startStop-4] [hybrisserver] Starting up hybris server
INFO   | jvm 1    | main    | 2025/04/03 08:31:34.591 | INFO  [localhost-startStop-4] [hybrisserver] 
INFO   | jvm 1    | main    | 2025/04/03 08:31:34.591 | INFO  [localhost-startStop-4] [hybrisserver] Configuration:
INFO   | jvm 1    | main    | 2025/04/03 08:31:34.594 | INFO  [localhost-startStop-4] [hybrisserver] 
INFO   | jvm 1    | main    | 2025/04/03 08:31:34.595 | INFO  [localhost-startStop-4] [hybrisserver] Cluster:     disabled
INFO   | jvm 1    | main    | 2025/04/03 08:31:34.596 | INFO  [localhost-startStop-4] [hybrisserver] Tenant:      master
INFO   | jvm 1    | main    | 2025/04/03 08:31:34.599 | INFO  [localhost-startStop-4] [hybrisserver] Mode:        development
INFO   | jvm 1    | main    | 2025/04/03 08:31:34.600 | INFO  [localhost-startStop-4] [hybrisserver] OS:          Windows 10 10.0, amd64
INFO   | jvm 1    | main    | 2025/04/03 08:31:34.605 | INFO  [localhost-startStop-4] [hybrisserver] Database:    Pool: hybris - hsqldb, table prefix: 
INFO   | jvm 1    | main    | 2025/04/03 08:31:34.605 | INFO  [localhost-startStop-4] [hybrisserver]              SA - jdbc:hsqldb:file:C:\hybris\hybris\data/hsqldb/mydb;shutdown=true;hsqldb.tx=MVCC;hsqldb.log_size=256
INFO   | jvm 1    | main    | 2025/04/03 08:31:34.606 | INFO  [localhost-startStop-4] [hybrisserver] Platform:    1905.23
INFO   | jvm 1    | main    | 2025/04/03 08:31:34.607 | INFO  [localhost-startStop-4] [hybrisserver] Java:        SAP SE
INFO   | jvm 1    | main    | 2025/04/03 08:31:34.609 | INFO  [localhost-startStop-4] [hybrisserver]              OpenJDK Runtime Environment, 11.0.25+9-LTS-sapmachine
INFO   | jvm 1    | main    | 2025/04/03 08:31:34.609 | INFO  [localhost-startStop-4] [hybrisserver]              C:\Program Files\SapMachine\JDK\11
INFO   | jvm 1    | main    | 2025/04/03 08:31:34.610 | INFO  [localhost-startStop-4] [hybrisserver] VM Locale:   language=fr,country=MA,region=null
INFO   | jvm 1    | main    | 2025/04/03 08:31:34.611 | INFO  [localhost-startStop-4] [hybrisserver] Cache:       RegionCache is not yet initialized. [de.hybris.platform.cache.impl.RegionCacheAdapter]
INFO   | jvm 1    | main    | 2025/04/03 08:31:34.612 | INFO  [localhost-startStop-4] [hybrisserver] Server type: tomcat
INFO   | jvm 1    | main    | 2025/04/03 08:31:34.613 | INFO  [localhost-startStop-4] [hybrisserver] 
INFO   | jvm 1    | main    | 2025/04/03 08:31:34.614 | INFO  [localhost-startStop-4] [hybrisserver] *****************************************************************
INFO   | jvm 1    | main    | 2025/04/03 08:31:34.615 | INFO  [localhost-startStop-4] [hybrisserver] 
INFO   | jvm 1    | main    | 2025/04/03 08:31:34.620 | INFO  [localhost-startStop-4] [hybrisserver] ---------------------------------------------------------------
INFO   | jvm 1    | main    | 2025/04/03 08:31:34.621 | INFO  [localhost-startStop-4] [hybrisserver] --- Extensions in dependency order ( options: 
INFO   | jvm 1    | main    | 2025/04/03 08:31:34.621 | INFO  [localhost-startStop-4] [hybrisserver] ---  @deprecated: is deprecated, p: platform extension,*: auto-required 
INFO   | jvm 1    | main    | 2025/04/03 08:31:34.622 | INFO  [localhost-startStop-4] [hybrisserver] ---  ?: lazy-loaded, i: got items.xml, b: got beans.xml, c: got core module 
INFO   | jvm 1    | main    | 2025/04/03 08:31:34.623 | INFO  [localhost-startStop-4] [hybrisserver] ---  w: got web module ) 
INFO   | jvm 1    | main    | 2025/04/03 08:31:34.623 | INFO  [localhost-startStop-4] [hybrisserver] ---------------------------------------------------------------
INFO   | jvm 1    | main    | 2025/04/03 08:31:34.624 | INFO  [localhost-startStop-4] [hybrisserver] core 1905.23 [p*cib]
INFO   | jvm 1    | main    | 2025/04/03 08:31:34.625 | INFO  [localhost-startStop-4] [hybrisserver] testweb 1905.23 [p*w]
INFO   | jvm 1    | main    | 2025/04/03 08:31:34.625 | INFO  [localhost-startStop-4] [hybrisserver] scripting 1905.23 [p*ci]
INFO   | jvm 1    | main    | 2025/04/03 08:31:34.626 | INFO  [localhost-startStop-4] [hybrisserver] paymentstandard 1905.23 [p*ci]
INFO   | jvm 1    | main    | 2025/04/03 08:31:34.627 | INFO  [localhost-startStop-4] [hybrisserver] mediaweb 1905.23 [p*cw]
INFO   | jvm 1    | main    | 2025/04/03 08:31:34.627 | INFO  [localhost-startStop-4] [hybrisserver] maintenanceweb 1905.23 [p*w]
INFO   | jvm 1    | main    | 2025/04/03 08:31:34.628 | INFO  [localhost-startStop-4] [hybrisserver] deliveryzone 1905.23 [p*ci]
INFO   | jvm 1    | main    | 2025/04/03 08:31:34.629 | INFO  [localhost-startStop-4] [hybrisserver] commons 1905.23 [p*ci]
INFO   | jvm 1    | main    | 2025/04/03 08:31:34.630 | INFO  [localhost-startStop-4] [hybrisserver] processing->(scripting,commons) 1905.23 [p*cibw]
INFO   | jvm 1    | main    | 2025/04/03 08:31:34.633 | INFO  [localhost-startStop-4] [hybrisserver] impex->processing 1905.23 [p*ci]
INFO   | jvm 1    | main    | 2025/04/03 08:31:34.634 | INFO  [localhost-startStop-4] [hybrisserver] validation->impex 1905.23 [p*ci]
INFO   | jvm 1    | main    | 2025/04/03 08:31:34.635 | INFO  [localhost-startStop-4] [hybrisserver] catalog->(validation,commons) 1905.23 [p*cib]
INFO   | jvm 1    | main    | 2025/04/03 08:31:34.636 | INFO  [localhost-startStop-4] [hybrisserver] europe1->(impex,catalog) 1905.23 [p*ci]
INFO   | jvm 1    | main    | 2025/04/03 08:31:34.637 | INFO  [localhost-startStop-4] [hybrisserver] platformservices->(paymentstandard,impex,deliveryzone,europe1,processing) 1905.23 [p*cb]
INFO   | jvm 1    | main    | 2025/04/03 08:31:34.637 | INFO  [localhost-startStop-4] [hybrisserver] workflow->(catalog,platformservices,processing,commons) 1905.23 [p*ci]
INFO   | jvm 1    | main    | 2025/04/03 08:31:34.638 | INFO  [localhost-startStop-4] [hybrisserver] oauth2->platformservices 1905.23 [p*cibw]
INFO   | jvm 1    | main    | 2025/04/03 08:31:34.639 | INFO  [localhost-startStop-4] [hybrisserver] hac->(impex,catalog,processing,platformservices) 1905.23 [p*cw]
INFO   | jvm 1    | main    | 2025/04/03 08:31:34.639 | INFO  [localhost-startStop-4] [hybrisserver] comments->(workflow,impex,catalog,processing) 1905.23 [p*ci]
INFO   | jvm 1    | main    | 2025/04/03 08:31:34.640 | INFO  [localhost-startStop-4] [hybrisserver] advancedsavedquery->(impex,catalog,processing) 1905.23 [p*ci]
INFO   | jvm 1    | main    | 2025/04/03 08:31:34.641 | INFO  [localhost-startStop-4] [hybrisserver] embeddedserver <-?-tomcatembeddedserver 1905.23 [?cibw] path:C:\hybris\hybris\bin\modules\platform\embeddedserver
INFO   | jvm 1    | main    | 2025/04/03 08:31:34.641 | INFO  [localhost-startStop-4] [hybrisserver] voucher <-?-(promotions,voucherbackoffice) 1905.23 [?ci] path:C:\hybris\hybris\bin\modules\base-commerce\voucher
INFO   | jvm 1    | main    | 2025/04/03 08:31:34.642 | INFO  [localhost-startStop-4] [hybrisserver] tomcatembeddedserver->embeddedserver <-?-webservicescommons 1905.23 [?cibw] path:C:\hybris\hybris\bin\modules\platform\tomcatembeddedserver
INFO   | jvm 1    | main    | 2025/04/03 08:31:34.643 | INFO  [localhost-startStop-4] [hybrisserver] promotions->voucher <-?-(commerceservices,promotionsbackoffice,promotionengineservices) 1905.23 [?ci] path:C:\hybris\hybris\bin\modules\base-commerce\promotions
INFO   | jvm 1    | main    | 2025/04/03 08:31:34.644 | INFO  [localhost-startStop-4] [hybrisserver] springintegrationlibs <-?-(acceleratorservices,smartedit) 1905.23 [?] path:C:\hybris\hybris\bin\modules\platform\springintegrationlibs
INFO   | jvm 1    | main    | 2025/04/03 08:31:34.644 | INFO  [localhost-startStop-4] [hybrisserver] ruleengine <-?-ruleengineservices 1905.23 [?cib] path:C:\hybris\hybris\bin\modules\rule-engine\ruleengine
INFO   | jvm 1    | main    | 2025/04/03 08:31:34.646 | INFO  [localhost-startStop-4] [hybrisserver] auditreportservices <-?-backoffice 1905.23 [?ci] path:C:\hybris\hybris\bin\modules\platform\auditreportservices
INFO   | jvm 1    | main    | 2025/04/03 08:31:34.646 | INFO  [localhost-startStop-4] [hybrisserver] ordercalculation <-?-ruleengineservices 1905.23 [?ci] path:C:\hybris\hybris\bin\modules\rule-engine\ordercalculation
INFO   | jvm 1    | main    | 2025/04/03 08:31:34.647 | INFO  [localhost-startStop-4] [hybrisserver] customerreview <-?-commerceservices 1905.23 [?ci] path:C:\hybris\hybris\bin\modules\base-commerce\customerreview
INFO   | jvm 1    | main    | 2025/04/03 08:31:34.651 | INFO  [localhost-startStop-4] [hybrisserver] backoffice->auditreportservices <-?-(platformbackoffice,voucherbackoffice,promotionsbackoffice,basecommercebackoffice,xyformsbackoffice,personalizationsampledataaddon,consignmenttrackingbackoffice,cmsbackoffice,textfieldconfiguratortemplatebackoffice,personalizationservicesbackoffice) 1905.23 [?ciw] path:C:\hybris\hybris\bin\modules\backoffice-framework\backoffice
INFO   | jvm 1    | main    | 2025/04/03 08:31:34.652 | INFO  [localhost-startStop-4] [hybrisserver] permissionsfacades <-?-(personalizationwebservices,permissionswebservices) 1905.23 [?cib] path:C:\hybris\hybris\bin\modules\web-services-commons\permissionsfacades
INFO   | jvm 1    | main    | 2025/04/03 08:31:34.653 | INFO  [localhost-startStop-4] [hybrisserver] integrationservices <-?-(inboundservices,outboundservices) 1905.23 [?cib] path:C:\hybris\hybris\bin\modules\integration-apis\integrationservices
INFO   | jvm 1    | main    | 2025/04/03 08:31:34.653 | INFO  [localhost-startStop-4] [hybrisserver] inboundservices->integrationservices <-?-(odata2services,odata2webservicesfeaturetests,integrationmonitoringbackoffice) 1905.23 [?cib] path:C:\hybris\hybris\bin\modules\integration-apis\inboundservices
INFO   | jvm 1    | main    | 2025/04/03 08:31:34.654 | INFO  [localhost-startStop-4] [hybrisserver] odata2services->inboundservices <-?-odata2webservices 1905.23 [?ci] path:C:\hybris\hybris\bin\modules\integration-apis\odata2services
INFO   | jvm 1    | main    | 2025/04/03 08:31:34.654 | INFO  [localhost-startStop-4] [hybrisserver] apiregistryservices <-?-(yaasyprofileconnect,kymaintegrationservices,basecommerce,merchandisingservices,outboundservices,apiregistrybackoffice,merchandisingcmswebservices,merchandisingaddon,personalizationyprofile) 1905.23 [?cib] path:C:\hybris\hybris\bin\modules\api-registry\apiregistryservices
INFO   | jvm 1    | main    | 2025/04/03 08:31:34.655 | INFO  [localhost-startStop-4] [hybrisserver] yaasyprofileconnect->apiregistryservices <-?-assistedserviceyprofilefacades 1905.23 [?cib] path:C:\hybris\hybris\bin\modules\assisted-services-integrations\yaasyprofileconnect
